"hash_sha256","file_base","file_path","file_extension","application_name","application_team","application_category"
"eed698176687289e720fcd8c4cb3cd926f2b987283d4640fe36a2efd4b73cbc5","\\DEMO.IO\SYSVOL","\\DEMO.IO\SYSVOL\DEMO.IO\POLICIES\{6B93DEE2-D0C4-4498-876A-C2BA7A6473F2}\USER\SCRIPTS\LOGON\INITIATE_APPS.TXT.BAT","BAT","INITIATE_APPS.TXT","UNDEFINED","SUPPRESS"
"1c1aaa94def780202891107999d87e10cc12cc3b639468f50511f97ea5e2c272","OSDRIVE","%OSDRIVE%\USERS\AACKTS\APPS\SYSINTERNALS\PROCEXP.EXE","EXE","PROCEXP","UNDEFINED","SUPPRESS"
"2066c68cd3a1c955d15f5512604d9353a00b736702c3ef43c2dcdcb5a024e977","OSDRIVE","%OSDRIVE%\USERS\AACKTS\APPS\SYSINTERNALS\PROCDUMP64.EXE","EXE","PROCDUMP64","UNDEFINED","AUTHORIZE"
"c9483b61c754fe6319e4a87a34065ef7577c88e712e0cfcafdf796b9a6a97467","OSDRIVE","%OSDRIVE%\USERS\AACKTS\APPS\SYSINTERNALS\AUTORUNSC64.EXE","EXE","AUTORUNSC64","UNDEFINED","AUTHORIZE"
"fd25bec3f5357020b8f9ca4d43fd89daade7f04de0dc4549d08dc3c8a19e7b3e","OSDRIVE","%OSDRIVE%\USERS\AACKTS\APPS\SYSINTERNALS\AUTORUNS.EXE","EXE","AUTORUNS","UNDEFINED","SUPPRESS"
"7de91edb45119b68c9abba0bc738f7b7918ba099b12bf2e8fde924739ff4458e","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\FREECIV\APP\FREECIV\FREECIV-GTK3.22.EXE","EXE","FREECIV-GTK3.22","UNDEFINED","SUPPRESS"
"9ef4bcc4a6640ac5656519bf1cd102dfee06035c2e3e361452ccfe9943db321d","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SYSINTERNALS\ADINSIGHT.EXE","EXE","ADINSIGHT","UNDEFINED","SUPPRESS"
"d114425c278262659f61284f113c2717a9e557a30419ad573c5f13c3d60f9cab","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SYSINTERNALS\ADEXPLORER.EXE","EXE","ADEXPLORER","UNDEFINED","SUPPRESS"
"92b102c03afc679c32750ce05804f91b72f1d359633526b56405a930f88991b8","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SYSINTERNALS\TCPVIEW.EXE","EXE","TCPVIEW","UNDEFINED","SUPPRESS"
"6e7f7bdf860d01ed00012d4ad61fd64aa586899b954103eb21a8d9184afcb30f","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SYSINTERNALS\PSEXEC.EXE","EXE","PSEXEC","UNDEFINED","SUPPRESS"
