"appid","appcat","apppath"
"058f4d783e3ae8c5593a1bb61c0393f746715f82ce2ac368af3beda79453677f","AUTHORIZE","%SYSTEM32%\TASKHOSTW.EXE"
"6c89b133843c406191a081d4bd580817488357f0352605bf9ddaa287cd6c4ed4","AUTHORIZE","%SYSTEM32%\SMARTSCREEN.EXE"
"bccf1c3e3ebb6e2bad72464fec53d471089b472373183ceeb3a2e78213b69331","SUPPRESS","%OSDRIVE%\SYSINTERNALSSUITE\ADEXPLORER.EXE"
"e7f0b0f8ca8621e0f0480e060369953f8aca2ba120931a2cec33f10d6b7baffb","AUTHORIZE","%SYSTEM32%\CONHOST.EXE"
"c86138fe04d0bf9099c9a98931de1a7c52200ace88a7139d193edc0975ecb9ff","AUTHORIZE","%SYSTEM32%\WINDOWSPOWERSHELL\V1.0\POWERSHELL.EXE"
"42c5bd6bbb3242120e117c60aa5e0ec12a60d65078a6b892b8f38f666013a006","AUTHORIZE","%SYSTEM32%\WINDOWSPOWERSHELL\V1.0\MODULES\MICROSOFT.POWERSHELL.UTILITY\MICROSOFT.POWERSHELL.UTILITY.PSM1"
"447ab2c9256220fa774eb72237da8dd4d661461b84f0026e9094b567777936d1","AUTHORIZE","%SYSTEM32%\WINDOWSPOWERSHELL\V1.0\MODULES\MICROSOFT.POWERSHELL.UTILITY\MICROSOFT.POWERSHELL.UTILITY.PSD1"
"708dca868f352540a2aa5ee68bef0747610307b99921f5968fa743c159247e53","AUTHORIZE","%OSDRIVE%\SYSINTERNALSSUITE\_SCRIPTS\GETMYDATE.PS1"
"f36d798fc0a5d9c22bb255b0f57d368c562cc15865e64c98ef7f9d9059e4ed28","AUTHORIZE","%SYSTEM32%\WINDOWSPOWERSHELL\V1.0\MODULES\MICROSOFT.POWERSHELL.SECURITY\MICROSOFT.POWERSHELL.SECURITY.PSD1"
"063fab9de696b72fd2ddb83328ca1fbb0100a3681507ada3938a6a4a44a3d47b","SUPPRESS","%OSDRIVE%\SYSINTERNALSSUITE\_SCRIPTS\RECONNAISSANCE.CMD"
"b25cda0bd6052881a27aac5bb6ab80adb3a85020618233f825d20493f2d4092b","AUTHORIZE","%SYSTEM32%\CMD.EXE"
"8b6ceff13983f460caa7eafc954a43eae2519bf3805243e5166be91d2df50f35","AUTHORIZE","%OSDRIVE%\SYSINTERNALS\PROCEXP64.EXE"
