"appid","apppath","appcat"
"ed19128ada55c01e80b97adf2bd4a543535a3983a71e1581ba1120d2ad91fe36","E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT","AUTHORIZE"
"70951dc94250a3c281443662ee4cdb8615185447bc0ffebcb07533fefd5fd667","E:\MY PERSONAL SCRIPTS\RECON-POWER.VBS","SUPPRESS"
"c6176b8e39f69ba60fef565b9a5587a27841ad7b6d6b9fbba67fab080e01ca63","E:\HELPFUL PORTABLE APPS\AUTORUNS64.EXE","AUTHORIZE"
"3d7bd6819705b541749875c5cec5a9d7b59732ca28550d31330df603b77a08b1","E:\HELPFUL PORTABLE APPS\ADEXPLORER.EXE","SUPPRESS"
"d1da242315a9f20e5a104a512a761d615453ecce609c5c7370cbc353953883a2","E:\HELPFUL PORTABLE APPS\PROCEXP.EXE","SUPPRESS"
"453ccf4b7f6c92f2a0c333890cd17476d11640abefff497e344d90e27be244c4","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","SUPPRESS"
"1f62a541a0ee324d7d0f618a3ff1ad5ceb09dff9518bf07baa7ada7e989df5d8","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE","AUTHORIZE"
"cce65552f44c25515bf18e2147b1f12cc480e1bf8f75328c0c996cac569f25c9","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\PWTECH.EXE","AUTHORIZE"
"453ccf4b7f6c92f2a0c333890cd17476d11640abefff497e344d90e27be244c4","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","AUTHORIZE"
"e6fb4aa215428823ec0b7f526b634c67696c0ba177b49b0a93aaa904829677a0","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\ADEXPLORER.EXE","AUTHORIZE"
"97b6ae7407e35dfecfbfa3edaec2e44268892c866449094cf7584df2d4255d81","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT",
"453ccf4b7f6c92f2a0c333890cd17476d11640abefff497e344d90e27be244c4","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD",
"453ccf4b7f6c92f2a0c333890cd17476d11640abefff497e344d90e27be244c4","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD",
"1f62a541a0ee324d7d0f618a3ff1ad5ceb09dff9518bf07baa7ada7e989df5d8","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE",
