"apppath","appbase","appname","appextension","appaction","appteam"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT","OSDRIVE","ORIENTATION-POWER2","BAT","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","OSDRIVE","ORIENTATION-POWER1","CMD","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","OSDRIVE","ORIENTATION-POWER1","CMD","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE","OSDRIVE","KITTY_PORTABLE","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\PWTECH.EXE","OSDRIVE","PWTECH","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\RECON-POWER.VBS","OSDRIVE","RECON-POWER","VBS","warn","UNDEFINED"
"E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","E:\","ORIENTATION-POWER1","CMD","warn","UNDEFINED"
"E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","E:\","ORIENTATION-POWER1","CMD","warn","UNDEFINED"
"E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT","E:\","ORIENTATION-POWER2","BAT","warn","UNDEFINED"
"E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER3.CMD","E:\","ORIENTATION-POWER3","CMD","warn","UNDEFINED"
"E:\MY PERSONAL SCRIPTS\RECON-POWER.VBS","E:\","RECON-POWER","VBS","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT","OSDRIVE","ORIENTATION-POWER2","BAT","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\RECON-POWER.VBS","OSDRIVE","RECON-POWER","VBS","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\ADEXPLORER.EXE","OSDRIVE","ADEXPLORER","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\ADEXPLORER.EXE","OSDRIVE","ADEXPLORER","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\AUTORUNS64.EXE","OSDRIVE","AUTORUNS64","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE","OSDRIVE","KITTY_PORTABLE","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","OSDRIVE","ORIENTATION-POWER1","CMD","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT","OSDRIVE","ORIENTATION-POWER2","BAT","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\PROCEXP.EXE","OSDRIVE","PROCEXP","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\PWTECH.EXE","OSDRIVE","PWTECH","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\RECON-POWER.VBS","OSDRIVE","RECON-POWER","VBS","warn","UNDEFINED"
